#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
17.3250	-0.017
17.3500	0.057
17.3750	0.129
17.4000	0.201
17.4250	0.270
17.4500	0.338
17.4750	0.402
17.5000	0.465
17.5250	0.522
17.5500	0.575
17.5750	0.622
17.6000	0.666
17.6250	0.702
17.6500	0.734
17.6750	0.759
17.7000	0.778
17.7250	0.790
17.7500	0.796
17.7750	0.796
17.8000	0.787
17.8250	0.774
17.8500	0.754
17.8750	0.729
17.9000	0.696
17.9250	0.660
17.9500	0.616
17.9750	0.570
18.0000	0.518
18.0250	0.463
18.0500	0.404
18.0750	0.342
18.1000	0.280
18.1250	0.214
18.1500	0.146
18.1750	0.077
18.2000	0.009
18.2250	-0.058
18.2500	-0.126
18.2750	-0.192
18.3000	-0.254
18.3250	-0.316
18.3500	-0.374
18.3750	-0.429
18.4000	-0.479
18.4250	-0.525
18.4500	-0.565
18.4750	-0.603
18.5000	-0.635
18.5250	-0.660
18.5500	-0.679
18.5750	-0.691
18.6000	-0.699
18.6250	-0.701
18.6500	-0.696
18.6750	-0.685
18.7000	-0.668
18.7250	-0.646
18.7500	-0.617
18.7750	-0.583
18.8000	-0.545
18.8250	-0.501
18.8500	-0.452
18.8750	-0.402
18.9000	-0.347
18.9250	-0.289
18.9500	-0.228
18.9750	-0.165
19.0000	-0.102
19.0250	-0.038
19.0500	0.027
19.0750	0.091
19.1000	0.156
19.1250	0.217
19.1500	0.278
19.1750	0.336
19.2000	0.390
19.2250	0.443
19.2500	0.490
19.2750	0.534
19.3000	0.573
19.3250	0.608
19.3500	0.638
19.3750	0.661
19.4000	0.680
19.4250	0.693
19.4500	0.699
19.4750	0.701
19.5000	0.697
19.5250	0.686
19.5500	0.672
19.5750	0.652
19.6000	0.625
19.6250	0.594
19.6500	0.559
19.6750	0.520
19.7000	0.476
19.7250	0.429
19.7500	0.379
19.7750	0.325
19.8000	0.270
19.8250	0.214
19.8500	0.156
19.8750	0.096
19.9000	0.036
19.9250	-0.024
19.9500	-0.082
19.9750	-0.140
20.0000	-0.195
20.0250	-0.250
20.0500	-0.302
20.0750	-0.350
20.1000	-0.396
20.1250	-0.437
20.1500	-0.474
20.1750	-0.509
20.2000	-0.537
20.2250	-0.561
20.2500	-0.580
20.2750	-0.594
20.3000	-0.602
20.3250	-0.605
20.3500	-0.603
20.3750	-0.597
20.4000	-0.583
20.4250	-0.565
20.4500	-0.542
20.4750	-0.515
20.5000	-0.484
20.5250	-0.446
20.5500	-0.407
20.5750	-0.364
20.6000	-0.317
20.6250	-0.267
20.6500	-0.215
20.6750	-0.163
20.7000	-0.107
20.7250	-0.052
20.7500	0.005
20.7750	0.060
20.8000	0.115
20.8250	0.170
20.8500	0.221
20.8750	0.273
20.9000	0.320
20.9250	0.368
20.9500	0.410
20.9750	0.449
21.0000	0.484
21.0250	0.515
21.0500	0.542
21.0750	0.564
21.1000	0.581
21.1250	0.594
21.1500	0.602
21.1750	0.605
21.2000	0.603
21.2250	0.595
21.2500	0.583
21.2750	0.567
21.3000	0.545
21.3250	0.520
21.3500	0.490
21.3750	0.457
21.4000	0.421
21.4250	0.382
21.4500	0.339
21.4750	0.294
21.5000	0.247
21.5250	0.198
21.5500	0.148
21.5750	0.097
21.6000	0.046
21.6250	-0.005
21.6500	-0.055
21.6750	-0.105
21.7000	-0.154
21.7250	-0.201
21.7500	-0.245
21.7750	-0.287
21.8000	-0.327
21.8250	-0.364
21.8500	-0.397
21.8750	-0.426
21.9000	-0.452
21.9250	-0.473
21.9500	-0.490
21.9750	-0.503
22.0000	-0.511
22.0250	-0.514
22.0500	-0.514
22.0750	-0.509
22.1000	-0.498
22.1250	-0.484
22.1500	-0.465
22.1750	-0.441
22.2000	-0.415
22.2250	-0.385
22.2500	-0.352
22.2750	-0.314
22.3000	-0.275
22.3250	-0.232
22.3500	-0.190
22.3750	-0.145
22.4000	-0.097
22.4250	-0.050
22.4500	-0.002
22.4750	0.047
22.5000	0.094
22.5250	0.140
22.5500	0.185
22.5750	0.229
22.6000	0.270
22.6250	0.309
22.6500	0.347
22.6750	0.380
22.7000	0.412
22.7250	0.438
22.7500	0.462
22.7750	0.481
22.8000	0.496
22.8250	0.507
22.8500	0.514
22.8750	0.515
22.9000	0.515
22.9250	0.509
22.9500	0.500
22.9750	0.485
23.0000	0.468
23.0250	0.448
23.0500	0.423
23.0750	0.394
23.1000	0.364
23.1250	0.331
23.1500	0.295
23.1750	0.258
23.2000	0.218
23.2250	0.176
23.2500	0.135
23.2750	0.093
23.3000	0.049
23.3250	0.005
23.3500	-0.038
23.3750	-0.080
23.4000	-0.121
23.4250	-0.160
23.4500	-0.198
23.4750	-0.234
23.5000	-0.269
23.5250	-0.298
23.5500	-0.327
23.5750	-0.352
23.6000	-0.374
23.6250	-0.393
23.6500	-0.407
23.6750	-0.418
23.7000	-0.426
23.7250	-0.429
23.7500	-0.429
23.7750	-0.424
23.8000	-0.416
23.8250	-0.404
23.8500	-0.390
23.8750	-0.371
23.9000	-0.347
23.9250	-0.322
23.9500	-0.295
23.9750	-0.264
24.0000	-0.231
24.0250	-0.195
24.0500	-0.159
24.0750	-0.121
24.1000	-0.082
24.1250	-0.041
24.1500	0.000
24.1750	0.039
24.2000	0.080
24.2250	0.119
24.2500	0.157
24.2750	0.193
24.3000	0.228
24.3250	0.262
24.3500	0.292
24.3750	0.320
24.4000	0.346
24.4250	0.368
24.4500	0.386
24.4750	0.402
24.5000	0.415
24.5250	0.424
24.5500	0.429
24.5750	0.432
24.6000	0.430
24.6250	0.426
24.6500	0.416
24.6750	0.405
24.7000	0.390
24.7250	0.372
24.7500	0.352
24.7750	0.328
24.8000	0.303
24.8250	0.275
24.8500	0.245
24.8750	0.214
24.9000	0.182
24.9250	0.148
24.9500	0.113
24.9750	0.077
25.0000	0.041
25.0250	0.006
25.0500	-0.030
25.0750	-0.064
25.1000	-0.099
25.1250	-0.130
25.1500	-0.162
25.1750	-0.190
25.2000	-0.218
25.2250	-0.243
25.2500	-0.265
25.2750	-0.286
25.3000	-0.303
25.3250	-0.319
25.3500	-0.330
25.3750	-0.339
25.4000	-0.344
25.4250	-0.346
25.4500	-0.346
25.4750	-0.341
25.5000	-0.333
25.5250	-0.324
25.5500	-0.309
25.5750	-0.295
25.6000	-0.276
25.6250	-0.254
25.6500	-0.232
25.6750	-0.207
25.7000	-0.179
25.7250	-0.151
25.7500	-0.121
25.7750	-0.090
25.8000	-0.058
25.8250	-0.025
25.8500	0.006
25.8750	0.039
25.9000	0.071
25.9250	0.102
25.9500	0.132
25.9750	0.162
26.0000	0.190
26.0250	0.215
26.0500	0.240
26.0750	0.262
26.1000	0.281
26.1250	0.300
26.1500	0.314
26.1750	0.325
26.2000	0.335
26.2250	0.341
26.2500	0.344
26.2750	0.346
26.3000	0.344
26.3250	0.338
26.3500	0.330
26.3750	0.320
26.4000	0.308
26.4250	0.292
26.4500	0.275
26.4750	0.256
26.5000	0.234
26.5250	0.212
26.5500	0.188
26.5750	0.162
26.6000	0.137
26.6250	0.108
26.6500	0.080
26.6750	0.052
26.7000	0.025
26.7250	-0.005
26.7500	-0.031
26.7750	-0.058
26.8000	-0.085
26.8250	-0.110
26.8500	-0.134
26.8750	-0.157
26.9000	-0.178
26.9250	-0.196
26.9500	-0.214
26.9750	-0.228
27.0000	-0.240
27.0250	-0.251
27.0500	-0.259
27.0750	-0.264
27.1000	-0.267
27.1250	-0.269
27.1500	-0.265
27.1750	-0.262
27.2000	-0.254
27.2250	-0.245
27.2500	-0.234
27.2750	-0.220
27.3000	-0.204
27.3250	-0.187
27.3500	-0.168
27.3750	-0.148
27.4000	-0.126
